"";"NU_IDENTIFICADOR";"notaEF";"notaRH";"notaServ";"IDCREAS";"Ano";"IBGE";"IBGE7";"UF";"Municipio";"Porte_pop2010"
"1";11002096334;4;3;2;3;2019;110020;1100205;"Rondonia";"PORTO VELHO";"Grande"
"2";11002096486;5;2;2;3;2019;110020;1100205;"Rondonia";"PORTO VELHO";"Grande"
"3";11100120307;2;5;5;4;2019;110012;1100122;"Rondonia";"JI-PARANA";"Grande"
"4";11100202266;3;3;2;2,67;2019;110020;1100205;"Rondonia";"PORTO VELHO";"Grande"
"5";11200400559;3;3;3;3;2019;120040;1200401;"Acre";"RIO BRANCO";"Grande"
"6";11302602018;5;3;4;4;2019;130260;1302603;"Amazonas";"MANAUS";"Metrópole"
"7";11303403114;3;4;3;3,33;2019;130340;1303403;"Amazonas";"PARINTINS";"Grande"
"8";11400101530;5;3;2;3,33;2019;140010;1400100;"Roraima";"BOA VISTA";"Grande"
"9";11500101366;4;3;2;3;2019;150010;1500107;"Pará";"ABAETETUBA";"Grande"
"10";11500102869;4;5;2;3,67;2019;150010;1500107;"Pará";"ABAETETUBA";"Grande"
"11";11500800557;4;4;4;4;2019;150080;1500800;"Pará";"ANANINDEUA";"Grande"
"12";11501402437;4;3;4;3,67;2019;150140;1501402;"Pará";"BELEM";"Metrópole"
"13";11501402459;3;3;2;2,67;2019;150140;1501402;"Pará";"BELEM";"Metrópole"
"14";11501402959;3;4;5;4;2019;150140;1501402;"Pará";"BELEM";"Metrópole"
"15";11501700553;3;4;5;4;2019;150170;1501709;"Pará";"BRAGANCA";"Grande"
"16";11502100288;3;1;4;2,67;2019;150210;1502103;"Pará";"CAMETA";"Grande"
"17";11502401112;3;5;5;4,33;2019;150240;1502400;"Pará";"CASTANHAL";"Grande"
"18";11504202847;5;3;3;3,67;2019;150420;1504208;"Pará";"MARABA";"Grande"
"19";11504421447;2;4;1;2,33;2019;150442;1504422;"Pará";"MARITUBA";"Grande"
"20";11505530567;5;3;4;4;2019;150553;1505536;"Pará";"PARAUAPEBAS";"Grande"
"21";11506801932;3;5;2;3,33;2019;150680;1506807;"Pará";"SANTAREM";"Grande"
"22";11600300299;1;3;2;2;2019;160030;1600303;"Amapá";"MACAPA";"Grande"
"23";11600601690;2;2;1;1,67;2019;160060;1600600;"Amapá";"SANTANA";"Grande"
"24";11702100222;2;5;4;3,67;2019;170210;1702109;"Tocantins";"ARAGUAINA";"Grande"
"25";11721001557;4;3;5;4;2019;172100;1721000;"Tocantins";"PALMAS";"Grande"
"26";12004097248;2;2;2;2;2019;120040;1200401;"Acre";"RIO BRANCO";"Grande"
"27";12100050440;4;4;4;4;2019;210005;2100055;"Maranhão";"ACAILANDIA";"Grande"
"28";12103000277;4;4;1;3;2019;210300;2103000;"Maranhão";"CAXIAS";"Grande"
"29";12103302909;4;4;3;3,67;2019;210330;2103307;"Maranhão";"CODO";"Grande"
"30";12105301887;4;5;2;3,67;2019;210530;2105302;"Maranhão";"IMPERATRIZ";"Grande"
"31";12107500396;3;5;3;3,67;2019;210750;2107506;"Maranhão";"PACO DO LUMIAR";"Grande"
"32";12111200455;3;1;3;2,33;2019;211120;2111201;"Maranhão";"SAO JOSE DE RIBAMAR";"Grande"
"33";12111302187;4;5;5;4,67;2019;211130;2111300;"Maranhão";"SAO LUIS";"Metrópole"
"34";12111302212;3;5;5;4,33;2019;211130;2111300;"Maranhão";"SAO LUIS";"Metrópole"
"35";12111302286;4;5;5;4,67;2019;211130;2111300;"Maranhão";"SAO LUIS";"Metrópole"
"36";12111302289;3;5;5;4,33;2019;211130;2111300;"Maranhão";"SAO LUIS";"Metrópole"
"37";12112202277;4;5;4;4,33;2019;211220;2112209;"Maranhão";"TIMON";"Grande"
"38";12207701414;3;4;5;4;2019;220770;2207702;"Piaui";"PARNAIBA";"Grande"
"39";12211001465;2;5;2;3;2019;221100;2211001;"Piaui";"TERESINA";"Grande"
"40";12211001488;4;5;5;4,67;2019;221100;2211001;"Piaui";"TERESINA";"Grande"
"41";12303700698;3;5;5;4,33;2019;230370;2303709;"Ceará";"CAUCAIA";"Grande"
"42";12304201321;2;4;2;2,67;2019;230420;2304202;"Ceará";"CRATO";"Grande"
"43";12304402146;4;4;5;4,33;2019;230440;2304400;"Ceará";"FORTALEZA";"Metrópole"
"44";12306401354;3;4;3;3,33;2019;230640;2306405;"Ceará";"ITAPIPOCA";"Grande"
"45";12307301193;4;4;1;3;2019;230730;2307304;"Ceará";"JUAZEIRO DO NORTE";"Grande"
"46";12307651394;3;5;2;3,33;2019;230765;2307650;"Ceará";"MARACANAU";"Grande"
"47";12307700753;2;4;3;3;2019;230770;2307700;"Ceará";"MARANGUAPE";"Grande"
"48";12312901425;3;5;3;3,67;2019;231290;2312908;"Ceará";"SOBRAL";"Grande"
"49";12403252220;5;4;5;4,67;2019;240325;2403251;"Rio Grande do Norte";"PARNAMIRIM";"Grande"
"50";12408000710;5;5;4;4,67;2019;240800;2408003;"Rio Grande do Norte";"MOSSORO";"Grande"
"51";12408101138;3;5;4;4;2019;240810;2408102;"Rio Grande do Norte";"NATAL";"Grande"
"52";12408101147;3;5;4;4;2019;240810;2408102;"Rio Grande do Norte";"NATAL";"Grande"
"53";12408103313;3;5;2;3,33;2019;240810;2408102;"Rio Grande do Norte";"NATAL";"Grande"
"54";12408103320;3;5;4;4;2019;240810;2408102;"Rio Grande do Norte";"NATAL";"Grande"
"55";12504001016;5;4;3;4;2019;250400;2504009;"Paraíba";"CAMPINA GRANDE";"Grande"
"56";12507502179;2;4;4;3,33;2019;250750;2507507;"Paraíba";"JOAO PESSOA";"Grande"
"57";12510800971;4;1;4;3;2019;251080;2510808;"Paraíba";"PATOS";"Grande"
"58";12513700080;1;3;2;2;2019;251370;2513703;"Paraíba";"SANTA RITA";"Grande"
"59";12602902147;5;5;5;5;2019;260290;2602902;"Pernambuco";"CABO DE SANTO AGOSTINHO";"Grande"
"60";12603451984;5;2;3;3,33;2019;260345;2603454;"Pernambuco";"CAMARAGIBE";"Grande"
"61";12604101722;3;4;2;3;2019;260410;2604106;"Pernambuco";"CARUARU";"Grande"
"62";12606000749;3;4;5;4;2019;260600;2606002;"Pernambuco";"GARANHUNS";"Grande"
"63";12606801947;4;4;5;4,33;2019;260680;2606804;"Pernambuco";"IGARASSU";"Grande"
"64";12607902037;4;5;2;3,67;2019;260790;2607901;"Pernambuco";"JABOATAO DOS GUARARAPES";"Grande"
"65";12609602639;3;4;3;3,33;2019;260960;2609600;"Pernambuco";"OLINDA";"Grande"
"66";12610701737;4;1;2;2,33;2019;261070;2610707;"Pernambuco";"PAULISTA";"Grande"
"67";12611100358;3;2;1;2;2019;261110;2611101;"Pernambuco";"PETROLINA";"Grande"
"68";12611602268;2;3;5;3,33;2019;261160;2611606;"Pernambuco";"RECIFE";"Metrópole"
"69";12613702795;4;4;5;4,33;2019;261370;2613701;"Pernambuco";"SAO LOURENCO DA MATA";"Grande"
"70";12616400077;5;2;3;3,33;2019;261640;2616407;"Pernambuco";"VITORIA DE SANTO ANTAO";"Grande"
"71";12700300425;5;5;4;4,67;2019;270030;2700300;"Alagoas";"ARAPIRACA";"Grande"
"72";12704301835;3;4;2;3;2019;270430;2704302;"Alagoas";"MACEIO";"Metrópole"
"73";12704303302;2;5;2;3;2019;270430;2704302;"Alagoas";"MACEIO";"Metrópole"
"74";12800301314;3;5;4;4;2019;280030;2800308;"Sergipe";"ARACAJU";"Grande"
"75";12800301336;5;5;4;4,67;2019;280030;2800308;"Sergipe";"ARACAJU";"Grande"
"76";12800302928;3;5;5;4,33;2019;280030;2800308;"Sergipe";"ARACAJU";"Grande"
"77";12804800767;3;5;2;3,33;2019;280480;2804805;"Sergipe";"NOSSA SENHORA DO SOCORRO";"Grande"
"78";12900701967;4;3;4;3,67;2019;290070;2900702;"Bahia";"ALAGOINHAS";"Grande"
"79";12903200216;3;1;4;2,67;2019;290320;2903201;"Bahia";"BARREIRAS";"Grande"
"80";12905701150;3;5;2;3,33;2019;290570;2905701;"Bahia";"CAMACARI";"Grande"
"81";12910721565;5;4;3;4;2019;291072;2910727;"Bahia";"EUNAPOLIS";"Grande"
"82";12910801738;3;4;2;3;2019;291080;2910800;"Bahia";"FEIRA DE SANTANA";"Grande"
"83";12913602282;3;1;2;2;2019;291360;2913606;"Bahia";"ILHEUS";"Grande"
"84";12914801073;3;3;2;2,67;2019;291480;2914802;"Bahia";"ITABUNA";"Grande"
"85";12918001923;3;5;2;3,33;2019;291800;2918001;"Bahia";"JEQUIE";"Grande"
"86";12918400770;5;3;5;4,33;2019;291840;2918407;"Bahia";"JUAZEIRO";"Grande"
"87";12919201332;3;5;2;3,33;2019;291920;2919207;"Bahia";"LAURO DE FREITAS";"Grande"
"88";12924000079;5;4;1;3,33;2019;292400;2924009;"Bahia";"PAULO AFONSO";"Grande"
"89";12925300351;3;4;2;3;2019;292530;2925303;"Bahia";"PORTO SEGURO";"Grande"
"90";12927400626;4;5;3;4;2019;292740;2927408;"Bahia";"SALVADOR";"Metrópole"
"91";12927403433;4;3;3;3,33;2019;292740;2927408;"Bahia";"SALVADOR";"Metrópole"
"92";12930702801;1;3;3;2,33;2019;293070;2930709;"Bahia";"SIMOES FILHO";"Grande"
"93";12931351046;4;4;3;3,67;2019;293135;2931350;"Bahia";"TEIXEIRA DE FREITAS";"Grande"
"94";12933301098;5;5;2;4;2019;293330;2933307;"Bahia";"VITORIA DA CONQUISTA";"Grande"
"95";13026096252;2;5;4;3,67;2019;130260;1302603;"Amazonas";"MANAUS";"Metrópole"
"96";13026098544;3;2;4;3;2019;130260;1302603;"Amazonas";"MANAUS";"Metrópole"
"97";13026098550;5;3;1;3;2019;130260;1302603;"Amazonas";"MANAUS";"Metrópole"
"98";13026098552;2;2;4;2,67;2019;130260;1302603;"Amazonas";"MANAUS";"Metrópole"
"99";13103502296;5;5;5;5;2019;310350;3103504;"Minas gerais";"ARAGUARI";"Grande"
"100";13105602348;2;3;4;3;2019;310560;3105608;"Minas gerais";"BARBACENA";"Grande"
"101";13106201882;5;5;2;4;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"102";13106201933;2;5;2;3;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"103";13106202060;4;5;2;3,67;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"104";13106202123;2;5;2;3;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"105";13106202139;2;5;2;3;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"106";13106202151;4;5;2;3,67;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"107";13106202206;4;3;2;3;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"108";13106202242;5;5;2;4;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"109";13106202315;5;5;2;4;2019;310620;3106200;"Minas gerais";"BELO HORIZONTE";"Metrópole"
"110";13106700692;4;4;2;3,33;2019;310670;3106705;"Minas gerais";"BETIM";"Grande"
"111";13118302982;3;2;3;2,67;2019;311830;3118304;"Minas gerais";"CONSELHEIRO LAFAIETE";"Grande"
"112";13118601858;2;5;5;4;2019;311860;3118601;"Minas gerais";"CONTAGEM";"Grande"
"113";13118603297;1;5;3;3;2019;311860;3118601;"Minas gerais";"CONTAGEM";"Grande"
"114";13119401235;5;5;3;4,33;2019;311940;3119401;"Minas gerais";"CORONEL FABRICIANO";"Grande"
"115";13122300681;4;3;3;3,33;2019;312230;3122306;"Minas gerais";"DIVINOPOLIS";"Grande"
"116";13127702721;3;5;3;3,67;2019;312770;3127701;"Minas gerais";"GOVERNADOR VALADARES";"Grande"
"117";13129800469;2;3;2;2,33;2019;312980;3129806;"Minas gerais";"IBIRITE";"Grande"
"118";13131301726;5;3;3;3,67;2019;313130;3131307;"Minas gerais";"IPATINGA";"Grande"
"119";13136700470;3;4;3;3,33;2019;313670;3136702;"Minas gerais";"JUIZ DE FORA";"Grande"
"120";13136700486;3;4;5;4;2019;313670;3136702;"Minas gerais";"JUIZ DE FORA";"Grande"
"121";13136700490;3;4;4;3,67;2019;313670;3136702;"Minas gerais";"JUIZ DE FORA";"Grande"
"122";13143901114;3;4;3;3,33;2019;314390;3143906;"Minas gerais";"MURIAE";"Grande"
"123";13147900304;2;4;3;3;2019;314790;3147907;"Minas gerais";"PASSOS";"Grande"
"124";13148000654;2;4;5;3,67;2019;314800;3148004;"Minas gerais";"PATOS DE MINAS";"Grande"
"125";13151801582;5;5;4;4,67;2019;315180;3151800;"Minas gerais";"POCOS DE CALDAS";"Grande"
"126";13152503014;3;5;3;3,67;2019;315250;3152501;"Minas gerais";"POUSO ALEGRE";"Grande"
"127";13154602864;2;5;5;4;2019;315460;3154606;"Minas gerais";"RIBEIRAO DAS NEVES";"Grande"
"128";13156701370;3;2;5;3,33;2019;315670;3156700;"Minas gerais";"SABARA";"Grande"
"129";13157802256;2;2;1;1,67;2019;315780;3157807;"Minas gerais";"SANTA LUZIA";"Grande"
"130";13167201572;5;5;2;4;2019;316720;3167202;"Minas gerais";"SETE LAGOAS";"Grande"
"131";13168601080;4;4;3;3,67;2019;316860;3168606;"Minas gerais";"TEOFILO OTONI";"Grande"
"132";13169902849;3;3;3;3;2019;316990;3169901;"Minas gerais";"UBA";"Grande"
"133";13170100291;5;3;3;3,67;2019;317010;3170107;"Minas gerais";"UBERABA";"Grande"
"134";13170201903;3;5;2;3,33;2019;317020;3170206;"Minas gerais";"UBERLANDIA";"Grande"
"135";13170702996;3;2;3;2,67;2019;317070;3170701;"Minas gerais";"VARGINHA";"Grande"
"136";13201203028;2;4;2;2,67;2019;320120;3201209;"Espirito Santo";"CACHOEIRO DE ITAPEMIRIM";"Grande"
"137";13201300312;5;5;2;4;2019;320130;3201308;"Espirito Santo";"CARIACICA";"Grande"
"138";13201502950;5;3;3;3,67;2019;320150;3201506;"Espirito Santo";"COLATINA";"Grande"
"139";13202400010;3;2;1;2;2019;320240;3202405;"Espirito Santo";"GUARAPARI";"Grande"
"140";13203200680;2;3;2;2,33;2019;320320;3203205;"Espirito Santo";"LINHARES";"Grande"
"141";13204902870;2;4;4;3,33;2019;320490;3204906;"Espirito Santo";"SAO MATEUS";"Grande"
"142";13205003044;2;3;2;2,33;2019;320500;3205002;"Espirito Santo";"SERRA";"Grande"
